COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
82,4214.87,4082.05,4476.92,4227.69,3940.51,4309.74,4049.74,4431.79,4274.87,3969.23,4797.44,4215.9,4214.87,4417.95,1617,1596,71.02,0,0,0,0,
83,4229.23,4094.36,4488.21,4235.9,3942.56,4304.1,4047.18,4443.59,4287.18,3986.67,4811.79,4231.28,4221.03,4428.72,1618,1596,71.028,0,0,0,0,
84,4231.79,4082.05,4494.87,4221.03,3918.97,4307.69,4056.41,4449.23,4278.97,3980,4803.59,4235.9,4220,4428.72,1618,1596,71.036,0,0,0,0,
85,4231.28,4077.95,4491.79,4212.82,3908.21,4311.79,4058.97,4442.56,4258.97,3965.64,4792.31,4229.23,4215.9,4424.1,1618,1595,71.043,0,0,0,0,
86,4225.13,4078.46,4481.54,4216.92,3924.1,4306.67,4051.79,4445.64,4260.51,3973.33,4798.46,4221.54,4213.33,4420.51,1618,1595,71.051,0,0,0,0,
87,4212.31,4067.18,4475.9,4217.95,3930.77,4310.26,4051.28,4448.21,4267.18,3976.41,4801.54,4220.51,4212.82,4414.87,1619,1595,71.059,0,0,0,0,
88,4213.85,4070.26,4485.64,4216.41,3925.64,4320.51,4057.95,4444.62,4265.13,3973.85,4796.92,4228.21,4217.95,4418.46,1617,1595,71.067,0,0,0,0,
89,4221.54,4083.59,4495.9,4217.95,3927.69,4321.03,4061.54,4452.82,4271.28,3988.21,4797.44,4231.28,4220.51,4426.15,1618,1597,71.075,0,0,0,0,
90,4216.92,4073.85,4486.67,4215.38,3928.21,4316.41,4061.54,4464.1,4283.08,4000,4797.44,4226.15,4211.28,4422.56,1618,1598,71.083,0,0,0,0,
91,4216.92,4067.18,4475.9,4216.92,3922.05,4318.46,4062.56,4456.92,4278.46,3991.28,4798.46,4222.56,4206.15,4417.44,1618,1598,71.091,0,0,0,0,
92,4229.74,4087.69,4478.46,4226.15,3932.31,4324.62,4058.97,4440.51,4265.13,3978.46,4806.67,4222.05,4217.95,4420,1617,1597,71.098,0,0,0,0,
93,4233.85,4100,4477.44,4226.67,3953.33,4320,4051.28,4431.28,4259.49,3981.54,4804.1,4216.41,4220,4417.44,1617,1597,71.106,0,0,0,0,
94,4231.79,4092.82,4475.38,4219.49,3946.67,4311.28,4050.26,4436.41,4260.51,3990.77,4800.51,4214.87,4212.31,4418.97,1618,1596,71.115,0,0,0,0,
95,4230.26,4087.18,4480.51,4218.46,3921.03,4314.36,4060,4453.85,4269.74,3989.74,4807.18,4223.59,4213.85,4426.67,1616,1597,71.122,0,0,0,0,
96,4226.67,4080,4483.08,4214.36,3904.1,4317.95,4065.64,4458.46,4280.51,3985.13,4807.69,4228.21,4210.77,4423.08,1617,1598,71.129,0,0,0,0,
97,4217.95,4069.23,4472.82,4203.08,3905.13,4310.26,4055.38,4449.23,4279.49,3989.74,4798.97,4223.59,4200,4414.36,1617,1596,71.137,0,0,0,0,
98,4206.15,4062.56,4460,4196.41,3922.05,4311.79,4045.13,4452.31,4276.41,3994.36,4796.41,4216.92,4197.44,4409.23,1617,1596,71.145,0,0,0,0,
99,4201.03,4060,4456.92,4198.46,3928.21,4322.56,4051.79,4461.03,4278.97,3993.85,4797.44,4216.41,4194.87,4410.26,1617,1595,71.153,0,0,0,0,
100,4209.74,4063.08,4466.67,4203.59,3910.77,4317.95,4062.05,4462.56,4279.49,3997.44,4801.03,4224.62,4197.95,4419.49,1617,1595,71.161,0,0,0,0,
101,4221.03,4066.67,4479.49,4203.59,3907.69,4309.23,4058.46,4458.46,4270.26,3995.38,4807.18,4236.41,4207.69,4427.69,1617,1596,71.17,0,0,0,0,
102,4215.38,4058.46,4473.85,4193.85,3923.08,4313.33,4049.74,4445.64,4251.28,3977.95,4796.41,4229.23,4193.85,4417.95,1618,1597,71.176,0,0,0,0,
103,4208.21,4054.36,4462.56,4191.28,3914.36,4312.31,4048.21,4434.36,4247.69,3975.38,4789.23,4213.33,4177.95,4406.15,1617,1597,71.184,0,0,0,0,
104,4215.9,4068.72,4470.26,4207.18,3904.1,4308.21,4055.9,4442.56,4264.1,3993.33,4799.49,4216.92,4193.33,4413.33,1618,1597,71.192,0,0,0,0,
105,4215.9,4070.26,4475.9,4212.31,3920.51,4323.08,4059.49,4450.77,4261.03,3990.77,4796.41,4220,4195.38,4414.87,1618,1595,71.2,0,0,0,0,
106,4210.26,4058.97,4469.74,4200,3930.26,4330.26,4052.82,4444.1,4245.64,3975.9,4785.13,4213.85,4172.31,4406.15,1619,1593,71.208,0,0,0,0,
107,4211.79,4065.64,4471.28,4194.36,3926.67,4313.33,4050.26,4438.46,4249.23,3983.59,4789.23,4215.38,4173.85,4407.18,1618,1593,71.215,0,0,0,0,
108,4219.49,4073.85,4480,4199.49,3920.51,4304.1,4055.38,4448.72,4261.03,3998.97,4800,4221.03,4194.36,4411.28,1620,1592,71.224,0,0,0,0,
109,4217.95,4062.05,4473.33,4203.08,3910.77,4313.33,4057.95,4462.56,4271.28,4007.18,4801.54,4218.97,4194.36,4406.67,1618,1593,71.231,0,0,0,0,
110,4203.08,4050.26,4463.08,4192.82,3914.87,4316.92,4048.72,4455.38,4269.23,4005.64,4793.85,4213.33,4185.13,4398.97,1619,1594,71.239,0,0,0,0,
111,4203.08,4061.03,4469.74,4193.85,3932.31,4314.36,4043.08,4436.41,4247.18,3997.95,4788.72,4219.49,4183.59,4407.69,1618,1594,71.247,0,0,0,0,
112,4223.59,4075.9,4479.49,4204.1,3926.15,4311.79,4053.33,4444.1,4246.15,4004.1,4802.05,4234.87,4188.72,4426.15,1618,1596,71.255,0,0,0,0,
113,4225.64,4069.74,4472.82,4193.33,3902.56,4309.23,4062.05,4458.46,4267.69,4013.85,4814.36,4237.95,4193.85,4431.28,1618,1595,71.262,0,0,0,0,
114,4217.44,4061.54,4466.67,4183.08,3912.82,4316.41,4054.36,4449.74,4270.77,4014.36,4810.26,4230.77,4195.38,4424.62,1617,1596,71.27,0,0,0,0,
115,4230.77,4073.33,4472.82,4200.51,3931.28,4321.54,4047.69,4442.05,4264.1,4017.44,4811.28,4233.33,4201.54,4426.15,1619,1596,71.278,0,0,0,0,
116,4233.33,4079.49,4469.74,4207.69,3919.49,4312.82,4052.31,4448.21,4262.56,4014.87,4811.28,4232.82,4201.54,4424.1,1618,1596,71.286,0,0,0,0,
117,4213.85,4062.05,4456.92,4185.13,3912.31,4306.15,4047.18,4447.18,4254.36,3995.9,4799.49,4218.46,4187.69,4406.67,1618,1596,71.294,0,0,0,0,
118,4206.67,4054.36,4453.85,4174.36,3918.46,4307.69,4040.51,4437.95,4241.54,3985.13,4790.26,4210.77,4175.38,4398.97,1618,1596,71.301,0,0,0,0,
119,4212.31,4063.08,4463.08,4185.13,3916.41,4314.36,4050.26,4443.08,4246.15,4000.51,4797.44,4218.97,4182.56,4409.23,1620,1594,71.309,0,0,0,0,
120,4214.87,4064.1,4473.85,4193.33,3910.77,4322.05,4060.51,4456.92,4264.62,4018.46,4807.69,4229.23,4195.38,4416.92,1618,1593,71.317,0,0,0,0,
121,4211.28,4056.92,4473.85,4186.15,3908.21,4319.49,4058.46,4460,4266.67,4013.33,4805.13,4230.26,4189.74,4412.31,1619,1595,71.325,0,0,0,0,
122,4206.15,4060,4470.77,4177.95,3911.28,4311.79,4056.41,4458.46,4254.87,4007.69,4793.85,4228.72,4183.08,4408.72,1618,1595,71.333,0,0,0,0,
123,4211.28,4069.74,4477.95,4191.28,3923.59,4317.44,4058.46,4459.49,4256.41,4017.95,4792.31,4231.79,4189.23,4417.95,1618,1597,71.341,0,0,0,0,
124,4215.9,4066.67,4482.05,4200,3924.1,4320.51,4058.97,4454.36,4264.62,4017.95,4800,4232.31,4195.38,4426.15,1618,1596,71.349,0,0,0,0,
125,4211.79,4061.03,4478.46,4184.1,3912.31,4318.97,4062.05,4450.77,4257.95,4007.69,4799.49,4229.23,4193.33,4420.51,1617,1595,71.356,0,0,0,0,
126,4215.9,4070.26,4485.13,4180,3916.41,4326.67,4063.59,4455.9,4248.72,4004.1,4794.87,4226.67,4191.28,4412.31,1618,1594,71.364,0,0,0,0,
127,4216.92,4072.82,4491.79,4189.23,3918.97,4324.1,4049.23,4446.67,4249.74,4004.1,4794.36,4221.03,4188.21,4411.79,1618,1594,71.372,0,0,0,0,
128,4200.51,4058.46,4486.15,4178.46,3907.18,4310.77,4036.41,4429.74,4249.23,4002.05,4792.82,4216.41,4180.51,4413.33,1618,1594,71.381,0,0,0,0,
0,4198.97,4057.44,4486.15,4164.62,3911.28,4315.9,4046.67,4436.41,4252.31,4003.08,4794.36,4217.44,4181.54,4418.97,1619,1594,71.387,0,0,0,0,
1,4215.38,4064.1,4493.85,4173.85,3926.67,4330.77,4055.38,4448.72,4263.08,4012.31,4796.41,4221.03,4186.67,4428.21,1618,1595,71.395,0,0,0,0,
